"fantástico, fantástica",fantastic ,Adj,,excellent,
la agalla,"gill, oak apple",N,f,,
el accidente,"accidental, feature, accident",N,m,music,"incidente, percance, contratiempo, siniestro, suceso"
"doloroso, dolorosa",painful,Adj,,,
el embajador,ambassador,N,m,,
el cometido,"mission, task",N,m,,
el examen,"exam, examination, test",N,m,,
la mina,"mine, lead",N,f,,
el armario,"locker, wardrobe, closet, cupboard, storage cabinet, wardrobe",N,m,,
sonreír, to smile,V,,intransitive,
"paso, pasa",dried ,Adj,,,
"vaquero, vaquera","<ul>  <li>jeans, cowboy, a kind of bird:</li>  <li>cowherd, cowboy</li></ul>",Adj,,,
convertir,"<ul>  <li>to turn, transform, convert</li>  <li>+ en to become, get, turn, transform</li></ul>",V,,transitive,
contratar,"to contract, take on, hire",V,,,
la destrucción,destruction,N,f,,
la conspiración,conspiracy,N,f,,
"absoluto, absoluta",absolute,Adj,,,
cercar," to corral, fence, fence off",V,,transitive,
la diversión,"fun, entertainment, amusement, levity",N,f,,
retirar,"<ul>  <li>to remove, withdraw, retire (for a reason other than age)</li>  <li>to retreat, withdraw</li></ul>",V,,,
el teniente,"having, holding, deputy, lieutenant",N,m,,
el embargo,"<ul>  <li>repossession, distraint, seizure, freezing, embargo</li>  <li>trade embargo, foreclosure</li></ul>",N,m,,
la selva," forest or jungle, wood, chiefly a rainforest",N,f,forestry,
el carajo,"<ul>  <li>shit!, hell, crow's nest, shit (US), jackshit (US), sod all (UK), bugger all (UK)</li>  <li>penis, used as an intensifier, similar to the fuck</li></ul>",N,m,vulgar,see Thesaurus:pene
atacar,"<ul>  <li>to assail, engage (enter into conflicted with)</li>  <li>to attack, come at</li></ul>",V,,"transitive, intransitive",
"izquierdo, izquierda","<ul>  <li>left-handed, left; on the left side or toward the left; the opposite of right</li>  <li>crooked</li></ul>",Adj,,,
suficientemente,sufficiently,Adv,,,
el sexo,"sex organ, sex, gender",N,m,,
la casualidad,"chance, coincidence, happenstance, fluke, accident",N,f,,"azar, accidente, suerte"
"efectivo, efectiva","real, true, effective, cash",Adj,,,
la cantidad,"<ul>  <li>quantity, like hell; a hell of a lot; shedloads</li>  <li>figure, amount, plenty</li></ul>",N,f,,
el rock,rock ,N,m,,
la estupidez,stupidity,N,f,,"tontería, bobada,  gilipollez,  pelotudez,  pendejez"
imbécil,"<ul>  <li>dumb, having the properties of an imbecile</li>  <li>imbecile, moron, dimwit, nitwit, sucker, dolt, shithead, nincompoop</li>  <li>asshole, prick, jerk, dickhead, twit, twerp, schmuck</li></ul>",Adj,,offensive,
cobrar,"<ul>  <li>to charge, pay for something</li>  <li>to gather up, claim (lives)</li>  <li>to collect</li></ul>",V,,,
la morfina, morphine (opioid used as an anaesthetic or recreational drug),N,f,,
"remoto, remota","remote, far-flung, ",Adj,,,"lejano, distante"
la bestia,"beast, animal, brute (person who acts stupidly)",N,f,,
pecar,to sin,V,,,
la coordenada,"feminine singular of coordenado, coordinate",N,f,,
"celoso, celosa","zealous, jealous",Adj,,,
leal,"adhering to the rules of propriety, fair, honest, loyal, true",Adj,,,
"payaso, payasa","clown, clownish; buffoonlike",Adj,,,
últimamente,"recently, lately",Adv,,,"recién, recientemente"
el nervio,nerve,N,m,,
la reputación,reputation,N,f,,
resultar,"<ul>  <li>to work out, seem, look</li>  <li>to be pretty, result, turn out, end up, prove</li></ul>",V,,,
"rubio, rubia","blond, gurnard, a blond person",Adj,,,
el evento,event,N,m,,
el heredero,heir,N,m,,
vomitar,"to vomit, to be sick",V,,,
"mágico, mágica","wonderful, magic, magical",Adj,,,
la maría,"<ul>  <li>Marie biscuit, Indian immigrant from the countryside to Mexico City</li>  <li>Former coin of Spain in the 17th century, equivalent to 12 reales de vellón</li>  <li>uncultured woman, magpie, housewife, doss subject (UK); gut course (US, in college)</li></ul>",N,f,bird,"urraca, marica"
la busca,"search, inflection of buscar:",N,f,,
arrancar,"<ul>  <li>to run away, unsheathe (a sword, dagger, etc.)</li>  <li>to get going, get started</li>  <li>to pull out, rip, tear</li>  <li>to start (a machine)</li></ul>",V,,transitive,
"robado, robada",stolen,Adj,,,
conectar,"<ul>  <li>to connect, connect up, link</li>  <li>to plug in, connect, click (i.e. get along well)</li>  <li>to connect, get connected, wire</li>  <li>to hook up (colloquial)</li></ul>",V,,transitive,
recoger,"<ul>  <li>to pack up, pick up</li>  <li>to go bed, reflect</li>  <li>to clean up, collect, gather, pick up, fetch, retrieve</li>  <li>to pick up on, glean, capture</li>  <li>to harvest, reap</li></ul>",V,,,
